Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM/DD),Location,Attribute,
NR,59903,ARCH,2800,4,T,5,ARCHITECTURAL DESIGN STUDIO 1,MWR,02:00 pm-03:50 pm,15,13,2,Hseng Tai Ja Reng Lintner (P),08/29-12/20,GREENE STU, 
C,57459,ARCH,2800,5,T,5,ARCHITECTURAL DESIGN STUDIO 1,MWR,02:00 pm-05:50 pm,13,14,-1,Michael Todd Stradley (P),08/29-12/20,GREENE STU, 
NR,57932,ARCH,2800,6,T,5,ARCHITECTURAL DESIGN STUDIO 1,MWR,02:00 pm-05:50 pm,15,13,2,Adam Francis Petela (P),08/29-12/20,GREENE STU, 
C,59494,ARCH,2800,8,T,5,ARCHITECTURAL DESIGN STUDIO 1,MWR,02:00 pm-05:50 pm,0,12,-12,Matthew Joseph Lopez (P),08/29-12/20,GREENE STU, 
NR,57621,ARCH,2820,1,T,5,ARCHITECTURAL DESIGN STUDIO 3,MWR,02:00 pm-05:50 pm,16,12,4,Adam Hassan Dayem (P),08/29-12/20,GREENE STU, 
NR,57622,ARCH,2820,2,T,5,ARCHITECTURAL DESIGN STUDIO 3,MWR,02:00 pm-05:50 pm,16,11,5,Leandro Piazzi (P),08/29-12/20,GREENE STU, 
NR,57623,ARCH,2820,3,T,5,ARCHITECTURAL DESIGN STUDIO 3,MWR,02:00 pm-05:50 pm,16,12,4,David H Bell (P),08/29-12/20,GREENE STU, 
NR,59598,ARCH,2820,4,T,5,ARCHITECTURAL DESIGN STUDIO 3,MWR,02:00 pm-05:50 pm,16,13,3,Jillian Marie Crandall (P),08/29-12/20,GREENE STU, 
NR,59249,ARCH,2820,6,T,5,ARCHITECTURAL DESIGN STUDIO 3,MWR,02:00 pm-05:50 pm,16,11,5,Gustavo Enrique Alberto Crembil (P),08/29-12/20,GREENE STU, 
NR,57889,ARCH,2860,1,T,5,BUILDING PERFORMANCE STUDIO 2,MWR,02:00 pm-05:50 pm,10,2,8,John Clifford Loercher (P),08/29-12/20,GREENE STU, 
NR,59924,ARCH,2940,22,T,1.000-6.000,CA-ARCH 4120 (SAFRAN), ,08:00 am-08:01 am,2,0,2,Yehuda Emmanul Safran (P),08/29-12/20,TBA, 
NR,57384,ARCH,4020,1,T,3,BEDFORD SEMINAR,W,12:00 pm-01:50 pm,12,6,6,James Norman Richardson (P),08/29-12/20,SAGE 3705, 
NR,58099,ARCH,4050,1,T,2,CITIES AND THEIR TERRITORIES,T,02:00 pm-03:50 pm,70,64,6,Jillian Marie Crandall (P),08/29-12/20,DARRIN 337, 
C,58379,ARCH,4120,1,T,3,CLOUD ATLAS: 20TH CENTURY ARCH,T,08:00 pm-09:50 pm,60,62,-2,Yehuda Emmanul Safran (P),08/29-12/20,TBA, 
 , , , , , , , ,F,12:00 pm-01:20 pm, , , ,Yehuda Emmanul Safran (P),08/29-12/20,GREENE 120, 
